fixture_id,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
1035480,5,7,19,7,13,6,15,3,0.0,43%,1.0,,6,426,341,80%,1.47,
1035490,5,2,9,2,7,2,9,6,3.0,38%,5.0,,6,362,278,77%,0.70,
1035494,2,4,8,2,5,3,14,2,2.0,57%,0.0,,3,528,432,82%,1.26,
1035461,13,6,25,6,18,7,7,8,3.0,72%,0.0,,2,730,654,90%,2.94,
1035518,10,8,27,9,16,11,8,6,0.0,48%,1.0,,6,414,323,78%,2.71,
1035529,2,2,7,3,5,2,8,2,1.0,57%,1.0,,6,609,515,85%,0.35,
1035538,2,6,14,6,4,10,5,4,2.0,54%,0.0,,5,515,442,86%,0.51,
1035510,8,5,17,4,14,3,16,9,1.0,45%,3.0,,5,365,286,78%,1.45,
1035546,4,2,11,5,8,3,9,5,1.0,45%,3.0,,2,462,399,86%,1.29,0.0
1208021,5,7,14,2,7,7,12,7,3.0,55%,2.0,,2,482,408,85%,2.43,1.0
1208033,4,5,11,2,8,3,13,4,6.0,52%,2.0,,2,511,446,87%,1.43,0.0
1208047,3,5,8,0,5,3,7,5,0.0,53%,4.0,,0,507,421,83%,1.36,0.0
1208058,10,3,20,7,11,9,14,7,,56%,4.0,0.0,3,611,556,91%,2.67,1.0
1208063,6,5,15,4,11,4,12,11,0.0,67%,2.0,,4,639,547,86%,1.70,0.0
1208077,2,5,11,4,10,1,16,5,2.0,39%,5.0,1.0,7,395,312,79%,0.96,0.0
1208082,4,4,10,2,4,6,11,3,1.0,46%,5.0,,1,369,302,82%,0.56,0.0
1208095,11,6,23,6,13,10,4,9,1.0,50%,2.0,,1,488,409,84%,1.33,0.0
1208112,5,7,18,6,10,8,7,5,3.0,57%,1.0,,1,538,451,84%,2.34,0.0
1208117,4,4,11,3,8,3,19,4,4.0,46%,6.0,,2,405,322,80%,1.98,0.0
1208128,3,4,13,6,6,7,9,1,1.0,51%,0.0,,5,491,418,85%,0.76,-2.0
